Gmt time,Open,High,Low,Close,Volume
24.06.2018 19:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 19:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:00:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:05:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:10:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:15:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:20:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:25:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:30:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:35:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:40:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:45:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:50:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 20:55:00.000,1.16590,1.16590,1.16590,1.16590,0
24.06.2018 21:00:00.000,1.16648,1.16669,1.16647,1.16669,48.25
24.06.2018 21:05:00.000,1.16669,1.16687,1.16654,1.16655,206.8
24.06.2018 21:10:00.000,1.16654,1.16659,1.16617,1.16619,123.63999999999999
24.06.2018 21:15:00.000,1.16618,1.16624,1.16617,1.16617,65.83
24.06.2018 21:20:00.000,1.16617,1.16647,1.16606,1.16638,298.94
24.06.2018 21:25:00.000,1.16638,1.16640,1.16627,1.16628,42.42
24.06.2018 21:30:00.000,1.16628,1.16642,1.16627,1.16641,338.13
24.06.2018 21:35:00.000,1.16643,1.16664,1.16637,1.16651,249.68
24.06.2018 21:40:00.000,1.16652,1.16658,1.16643,1.16651,370.19
24.06.2018 21:45:00.000,1.16651,1.16663,1.16648,1.16649,182.47
24.06.2018 21:50:00.000,1.16649,1.16654,1.16649,1.16654,34.6
24.06.2018 21:55:00.000,1.16654,1.16668,1.16638,1.16667,100.03999999999999
24.06.2018 22:00:00.000,1.16667,1.16678,1.16658,1.16675,601.77
24.06.2018 22:05:00.000,1.16675,1.16676,1.16669,1.16675,621.85
24.06.2018 22:10:00.000,1.16675,1.16684,1.16675,1.16682,404.71000000000004
24.06.2018 22:15:00.000,1.16681,1.16685,1.16634,1.16659,633.4100000000001
24.06.2018 22:20:00.000,1.16659,1.16680,1.16653,1.16654,473.58000000000004
24.06.2018 22:25:00.000,1.16653,1.16674,1.16653,1.16672,682.3700000000001
24.06.2018 22:30:00.000,1.16673,1.16674,1.16637,1.16639,708.8199999999999
24.06.2018 22:35:00.000,1.16639,1.16665,1.16639,1.16660,571.76
24.06.2018 22:40:00.000,1.16660,1.16673,1.16650,1.16671,369.35
24.06.2018 22:45:00.000,1.16671,1.16683,1.16670,1.16680,375.23999999999995
24.06.2018 22:50:00.000,1.16680,1.16683,1.16677,1.16677,245.25
24.06.2018 22:55:00.000,1.16677,1.16696,1.16676,1.16696,411.20000000000005
24.06.2018 23:00:00.000,1.16695,1.16698,1.16694,1.16696,204.33
24.06.2018 23:05:00.000,1.16695,1.16699,1.16684,1.16686,226.57000000000002
24.06.2018 23:10:00.000,1.16686,1.16726,1.16685,1.16724,556.66
24.06.2018 23:15:00.000,1.16724,1.16730,1.16691,1.16692,612.24
24.06.2018 23:20:00.000,1.16692,1.16693,1.16672,1.16673,486.28000000000003
24.06.2018 23:25:00.000,1.16672,1.16674,1.16662,1.16672,533.85
24.06.2018 23:30:00.000,1.16672,1.16690,1.16663,1.16675,605.57
24.06.2018 23:35:00.000,1.16676,1.16683,1.16667,1.16667,294.69
24.06.2018 23:40:00.000,1.16666,1.16666,1.16626,1.16638,554.15
24.06.2018 23:45:00.000,1.16639,1.16644,1.16621,1.16625,533.5
24.06.2018 23:50:00.000,1.16625,1.16625,1.16614,1.16619,655.36
24.06.2018 23:55:00.000,1.16621,1.16625,1.16604,1.16604,704.8199999999999
25.06.2018 00:00:00.000,1.16607,1.16612,1.16570,1.16598,1025.0500000000002
25.06.2018 00:05:00.000,1.16599,1.16611,1.16569,1.16569,832.51
25.06.2018 00:10:00.000,1.16571,1.16610,1.16569,1.16590,729.78
25.06.2018 00:15:00.000,1.16589,1.16597,1.16548,1.16587,856.8000000000001
25.06.2018 00:20:00.000,1.16587,1.16601,1.16582,1.16582,613.69
